ADDRESSBLO,ADDRESSBUI,ADDRESSTYP,HYPERLINK,LANDXADDRE,LANDYADDRE,NAME,PHOTOURL,ADDRESSPOS,DESCRIPTIO,ADDRESSSTR,ADDRESSFLO,INC_CRC,FMEL_UPD_D,ADDRESSUNI
,,,,33385.0156,35110.1758,MacPherson Linear Park,,,"A linear park between Blk 20, Joo Seng Road and MacPherson Road in MacPherson Garden Estate. Also a transitional zone for commuters in industrial areas and for transport purposes.",,,2399BFAA54288753,2020/02/18,
,,,,22203.0371,32805.0273,Holland Grove View Playground,,,Along Holland Grove View,,,A98C186F51D9414E,2020/02/18,
,,,,28116.3438,37376.1328,Thomson Park,,,along Jalan Sembilang Road,,,00CFA46FDF491EDD,2020/02/18,
,,,,22202.1523,33109.9961,Mount Sinai Plain Playground,,,"mount sinai plain, mount sinai crescent",,,C08AFFA29839130C,2020/02/18,
,,,,28182.3418,30581.1973,Kim Seng Park,,,Entrance via River Valley Green,,,00FD96AE03E7E4EA,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/toa-payoh-town-park,29630.33,34754.2969,Toa Payoh Town Park,,,Junction of Toa Payoh Lor 2 and Toa Payoh Lor 6,,,C45A8A635B5C3F8B,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/istana-park,29170.8281,31291.5332,Istana Park,,,"Bounded by Orchard Road, Penang Road, Penang Lane and Buyong Road.",,,F83007523ABDA15B,2020/02/18,
,,,,31208.2285,31827.2832,North Bridge Garden,,,Along North bridge Road,,,61388BE2BB2E2435,2020/02/18,
,,,,22379.3535,34343.12,Holland Green Playground,,,End of Holland Green road,,,B12A777F24E41F01,2020/02/18,
,,,,25144.2383,34327.0469,Bougainvillea Park,,,Junction of Dunearn Road and Watten Drive,,,CA4851EDE75AEDFE,2020/02/18,
,,,,32510.3789,42323.74,Lorong Tanggam Park,,,Lorong Tanggam,,,B46F9A64955BD430,2020/02/18,
,,,,33432.03,38110.1836,Richards Avenue Park,,,Along Richards Ave,,,DDA293041C8C4401,2020/02/18,
,,,,40879.5273,34107.5078,Jalan Limau Manis Playground,,,Junction of Jalan Limau Nipis and Jalan Limau Manis,,,E2E2592EB83AD7F2,2020/02/18,
,,,,37023.77,34137.7656,Taman Kembangan Playground,,,Along Taman Selamat and Taman Kembangan,,,CC2570746FC5DF0A,2020/02/18,
,,,,28612.9043,41020.5742,Banyan Villas Playground,,,Junction of Lentor Road and Lentor Plains,,,DA9218CFEB990E1B,2020/02/18,
,,,,32659.3184,40162.7734,Luxus Hills Park,,,Junction of Ang Mo Kio Ave 5 and Yio Chu Kang Road,,,2CE34B8946F4115F,2020/02/18,
,,,,40637.7852,34583.082,Tanah Merah Playground,,,Tanah Merah Kechil Ave,,,DA05434EA9991889,2020/02/18,
,,,,28784.1875,36785.8867,Marymount Terrace Playground,,,End of Marymount Terrace,,,BF55993565B41D6E,2020/02/18,
,,,,32898.79,35180.4922,Butterfly Avenue Playground,,,"Butterfly Avenue, Sennett Estate",,,4FF401FD8E317547,2020/02/18,
,,,,36326.05,31914.5215,Marine Parade Road Park,,,A linear park along Marine Parade Road between Still Road South (Road) and East Coast Road. It flanked itself at terminal roads of private houses with one courtyard in front of Grand Mercue Roxy Hotel.,,,4DBD588CA9153C17,2020/02/18,
,,,,29407.4043,36916.92,Clover Way Playground,,,Junction of Clover Way and Binchang Rise,,,1A59DE3A345F4205,2020/02/18,
,,,,31302.8281,31643.29,Kampong Glam Park,,,Along beach road,,,5F26F987DF1B33E6,2020/02/18,
,,,,33292.4922,37270.81,Jalan Geneng Interim Park,,,Along Jalan Geneng,,,1852078C6668522B,2020/02/18,
,,,,32458.5449,40838.3828,Jalan Selaseh Playground,,,"Bounded by Jalan Selaseh, Seletar Hills Drive & Jalan Keruing",,,AA6469B3C9CF05CF,2020/02/18,
,,,,38126.0273,33097.957,Elite Terrace Park,,,Bounded by Elite Park Avenue and Elite Terrace,,,055A39B259377CFB,2020/02/18,
,,,,31565.6,39136.0664,Tavistock Avenue Park,,,Junction of Ang Mo Kio Ave 3 and Tavistock Ave,,,CF26A22674D2BC36,2020/02/18,
,,,,31798.8789,37740.3945,Colchester Grove Open Space,,,Along Colchester Grove,,,DB02F9F1D0A2C0AB,2020/02/18,
,,,,31730.62,40559.5,Nim Crescent Open Space,,,Located along Nim Crescent,,,AE9C00E81015C0B6,2020/02/18,
,,,,28415.9277,40803.4023,Lentor Green Playground,,,Near Lentor Loop and within Lentor Green,,,EF3BCEF9A11F2BE9,2020/02/18,
,,,,40828.14,33494.92,Kew Crescent Playground,,,Along Kew Crescent,,,B3743948D125A5E7,2020/02/18,
,,,,31192.59,36742.3359,Chiltern Drive Interim Park,,,Located along Chiltern Drive (Road) within Braddel Height Estate and beside St. Gabriel Secondary School,,,799AC8121D7A57AE,2020/02/18,
,,,,29574.0332,31870.2832,Mount Emily Park,,,Along Mt Emily Rd and Upper Wilkie Rd,,,043225DC16008504,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/dhoby-ghaut-green,29398.1973,31189.6953,Dhoby Ghaut Green,,,"Adjacent to Dhoby Ghaut MRT Station, opposite the Park Mall Shopping Centre",,,9D21F9CFC0C0E487,2020/02/18,
,,,,38070.4,32588.9766,East Coast Terrace Park,,,"2 parts of the Park, bounded by East Coast Avenue and Marine Parade Road",,,6D0045A80FDBB63B,2020/02/18,
,,,,29138.42,36755.0352,Binchang Rise Playground,,,At the end of Binchang Rise,,,ACAB3D6A3F7E02FE,2020/02/18,
,,,,29257.9434,37019.09,Clover Crescent Playground,,,Along Clover Crescent and Clover Ave,,,B1F341352F20F9F9,2020/02/18,
,,,,24901.7344,34058.793,Duchess Park,,,Along Duchess Avenue,,,A1D39EA678EDFFFA,2020/02/18,
,,,,27650.0449,38119.5273,The Inglewood Playground,,,Along the Inglewood,,,AF2C2058DC5E9B57,2020/02/18,
,,,,20360.0234,39179.61,Cashew Road Playground,,,Junction of Cashew Road and Upper Bukit Timah Road,,,9B2F0980DFE85F18,2020/02/18,
,,,,13279.7637,37097.9961,Westwood Park Playground,,,Westwood Crescent/Ave.,,,3A7423776B643EA3,2020/02/18,
,,,,15072.7891,35774.543,Lakeside Grove Fitness Corner,,,"Corporation Rise, along Lakeside PCN.",,,49F83FD6C22D5865,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/one-north-park-mediapolis,23493.9238,30813.2578,one-north Park: Mediapolis,,,"Media Circle, next to MediaCorp campus",,,0A0B96D99AE2AD78,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/bukit-timah-nature-reserve,21402.1816,37255.4648,Bukit Timah Nature Reserve,,,End of Hindhede Drive,,,3BDE3205F96F1B62,2020/02/18,
,,,,18582.3281,33313.7734,Pandan Reservoir Fitness Corner,,,Juntion of West Coast Road & Pandan Gardens,,,46F986B3C0659F1F,2020/02/18,
,,,,20646.9258,35214.2734,Eng Kong Place Fitness Corner,,,Located along Eng Kong Place,,,9B2E40862E5853BF,2020/02/18,
,,,,20952.0781,35070.4063,Savoy Park Playground,,,Located at the end of Eng Kong Drive,,,E439DF16FD095FF9,2020/02/18,
,,,,28024.0859,38241.7148,Fulton Avenue Playground,,,Along Fulton Ave,,,1C301C15FB8F9285,2020/02/18,
,,,,20481.7715,35163.5234,Greenridge Crescent Playground,,,Located along Greenridge Crescent,,,3DC1E90FB5DDF7DD,2020/02/18,
,,,,31316.0176,36085.8555,Carmichael Road Playground,,,Carmichael Road,,,53DA086B747F82E2,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/esplanade-park,30256.8164,30202.709,Esplanade Park,,,"Along Connaught Drive, opposite Padang and City Hall",,,796C29E57BAEE0E3,2020/02/18,
,,,,23062.58,29073.7734,Chwee Chian Playground,,,"Chwee Chian Road, Springwood Estate",,,4FD06B73056FE731,2020/02/18,
,,,,29100.1523,32743.9336,Hooper Road Playground,,,Along Hooper Road and Makepeace Road/Jalan Aruan,,,3EB910FEC676D119,2020/02/18,
,,,,29047.1738,34119.375,Novena Rise Park,,,Along Novena Rise,,,3239DA75EB85361C,2020/02/18,
,,,,23911.4746,33949.2266,Namly Park,,,Located along Namly Place,,,D4098D99D8A898F9,2020/02/18,
,,,,20594.543,36474.72,Jalan Tekukor Playground,,,"Jalan Selanting, along Jalan Jurong Kechil",,,1F38F9A714071F75,2020/02/18,
,,,,21140.61,35341.09,Cheng Soon Garden Playground,,,Located along Kismis Road and Toh Yi Drive,,,A67AD95D8F7A42BC,2020/02/18,
,,,,31792.44,36582.01,Jalan Riang Playground,,,Located along Jalan Riang (Road) is a central green space surrounded by shophouses and residential houses in Braddel Height Estate.,,,6E418CC1927067D6,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/bedok-reservoir-park,38404.5977,35695.9258,Bedok Reservoir Park,,,Along Bedok Reservoir Road,,,3F999E73F889E1C3,2020/02/18,
,,,,31809.8965,37700.2539,Chuan Walk Playground,,,Along Chuan Walk,,,FE592D76E41AC86E,2020/02/18,
,,,,31905.5547,41081.1953,Dedap Place Playground,,,Dedap Place,,,BC4B404B91317126,2020/02/18,
,,,,36846.0938,32514.7383,Telok Kurau Lorong N Park,,,Lorong N Telok Kurau,,,586903718DAAF613,2020/02/18,
,,,,28556.7051,40924.26,Lentor Grove Playground,,,Near Lentor Road and Lentor Green,,,C38D382A967F2E94,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/bedok-town-park,37743.57,35169.7227,Bedok Town Park,,,"Bedok North Avenue 3. Bounded by Bedok North Road, Bedok North Avenue 3 and the Pan Island Expressway",,,D24B1FE235BEE9F4,2020/02/18,
,,,,40025.74,33505.832,Lucky Gardens Playground,,,Lucky Gardens,,,1C026F0B6C8B6B1F,2020/02/18,
,,,,39451.043,33254.36,Sennett Avenue Playground,,,Bounded by Sennett Ave and Sennett Place,,,0FCE10E5E6E256C6,2020/02/18,
,,,,30396.1348,32304.1855,Rowell Road Open Space,,,Along Rowell Rd,,,3A9F65E90F23A4FD,2020/02/18,
,,,,30243.0176,29970.834,Waterboat House Garden,,,Along Fullerton Road,,,AFF1460341FB3F9A,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/holland-village-park,23796.0469,32669.9883,Holland Village Park,,,Junction of Holland Road and Holland Avenue,,,10230E7C94A5172E,2020/02/18,
,,,,28477.707,31548.3965,Orchard Fountain Corner,,,Junction of Grange Road and Orchard Road,,,BFF845B255FD0BDE,2020/02/18,
,,,,22534.24,32894.81,Grove Lane Playground,,,"Grove Lane, Grove Crescent and Grove Avenue",,,4C9A125C82C49F0D,2020/02/18,
,,,,34237.875,32882.332,Lorong 40 Geylang Playground,,,Along Lor 40 Geylang,,,8E53310885968D73,2020/02/18,
,,,,23410.0273,28685.8711,Pasir Panjang Park,,,"Off Pasir Panjang Road, beside Pasir Panjang Food Centre",,,0D115E6FDFCD277D,2020/02/18,
,,,,27983.91,33709.69,Goldhill Avenue Playground,,,Junction of Goldhill Place and Goldhil Avenue,,,E4B5AF291E6150FE,2020/02/18,
,,,,28821.3672,33624.33,Gentle Drive Playground,,,At the end of Gentle Drive,,,6433E1F4C5E4ACB5,2020/02/18,
,,,,27092.1563,37816.1133,Jupiter Road Playground,,,Along Jupiter road playground,,,B8558938C839E971,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/jacob-ballas-childrens-garden,26286.09,33661.32,Jacob Ballas Children's Garden,,,In the Bukit Timah Core of the Singapore Botanic Gardens,,,70AD9F934D3DC44D,2020/02/18,
,,,,,,,,,"Address: 481, Bukit Timah Road, Singapore 259769",,,,,
,,,,29172.2676,33159.03,Thomson Road Playground,,,Along Licoln Road,,,F22245ECFDC85E78,2020/02/18,
,,,,34775.2266,31214.7617,Meyer Road Playground,,,Junction of Meyer Road & Crescent Rd,,,FE035938BE2DF0F3,2020/02/18,
,,,,33903.82,31060.6016,Katong Park,,,Junction of Meyer Road & Fort Road,,,872C841CC5199FAA,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/one-north-park-biopolis,23219.9941,31845.9941,one-north Park: Biopolis,,,"North Buona Vista Road, opposite Ministry of Education",,,9E56510CDF41EAFD,2020/02/18,
,,,,34109.36,31746.834,Arthur Park,,,Along Arthur Road,,,FE5148DF1325C119,2020/02/18,
,,,,35503.3828,32093.8516,Haig Walk,,,Adjacent to Seraya Lane and Mugliston Road,,,50CB7B0AD7A8537E,2020/02/18,
,,,,33021.1,34947.293,Oasis@Mulberry Park,,,"Junction of Upper Aljunied Road & Mulberry Avenue, Sennett Estate",,,AC7AA1819698A319,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/pearls-hill-city-park,28692.5039,29424.6953,Pearl's Hill City Park,,,Along Chin Swee Road and Pearl's Hill Road,,,4263D837CC5538E9,2020/02/18,
,,,,23199.58,29053.7578,Jambol Place Park,,,"Jambol Place, Springwood Estate",,,3420DA28EF5B5655,2020/02/18,
,,,,33191.0469,34594.8945,Aljunied Park,,,Along Aljunied Road within Happy Garden Estate,,,AEDED76F676EB90A,2020/02/18,
,,,,29487.7988,28959.9531,Telok Ayer Park,,,"Bounded by Maxwell Road, Cecil Street and Telok Ayer Street",,,611FE49DC6D16BDF,2020/02/18,
,,,,27303.26,33914.7,Malcolm Park,,,Along Malcolm Rd and Whiteley Rd,,,A8E6BEBC85BB54D1,2020/02/18,
,,,,25461.5273,34507.06,Shelford Road Playground,,,Junction of Watten Rise and Shelford Road,,,1C58B562BCE93BB3,2020/02/18,
,,,,22093.53,32933.7422,Jalan Kebaya Playground,,,junction of Jln Kebaya and Holland Grove Ave,,,B3CDBBD33E9E5638,2020/02/18,
,,,,35123.0078,31392.2441,Tanjong Katong Road South Playground,,,Along Tg Katong Road South,,,346A2DD6DADE8CD8,2020/02/18,
,,,,21291.65,36223.14,Hoover Park,,,Along Lorong Pisang Batu,,,E472D9BDFF470AB7,2020/02/18,
,,,,20382.2852,35389.543,Golden Rise Playground,,,Junction of Lorong Kismis and Toh Tuck Rise,,,179D861B34F7D0F9,2020/02/18,
,,,,29056.6348,33840.17,Novena Park,,,Along Jalan Novena,,,58741C149776580F,2020/02/18,
,,,,24591.6113,28317.1973,Berlayer Creek,,,"Behind Labrador Park MRT Station, 701 Telok Blangah Road",,,8467604070BF4B31,2020/02/18,
,,,,24902.6387,35299.0039,Greenwood Crescent Playground,,,Along Greenwood crescent,,,663619BA22257536,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/youth-olympic-park,31040.5313,30100.2129,Youth Olympic Park,,,Raffles Avenue. Junction of Raffles Avenue and Bayfront Bridge,,,FFEB8DC08F15C9DE,2020/02/18,
,,,,29290.582,30608.8438,River Valley Road / Clemenceau Avenue Open Space,,,Bounded by River Valley Road and Clemenceau Avenue,,,5EA9119C5C096F48,2020/02/18,
,,,,22411.8262,33168.1523,Henry Park,,,Along holland grove road,,,ED401EE20873C3AB,2020/02/18,
,,,,31618.752,34005.28,Beng Wan Road Playground,,,Along Beng Wan Road,,,F571533F1A656670,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/war-memorial-park,30392.7,30579.5488,War Memorial Park,,,"Bounded by Nicoll Highway, Stamford Road, Beach Road and Bras Basah Road",,,CA1E86CCF0B4B07B,2020/02/18,
,,,,23321.6367,33853.8125,Sixth Avenue Playground,,,Along Sixth Avenue,,,DCD74FFF6BA84174,2020/02/18,
,,,,22375.4258,32753.2754,Holland Grove View Fitness Corner,,,Along Holland Grove View,,,719020429F7BECFD,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/ang-mo-kio-town-garden-east,29888.2676,39176.3,Ang Mo Kio Town Garden East,,,"Junction of Ang Mo Kio Ave 3 and 8, behind Ang Mo Kio MRT Station",,,92EF3F1DFACC5D11,2020/02/18,
,,,,31490.1465,30330.4355,Marina Promenade,,,Along Republic Boulevard and Republic Avenue,,,00E1DB2943D1749C,2020/02/18,
,,,,27456.96,38228.4453,Island Gardens Walk Playground,,,Along Island Garden Walk,,,D3DEEB0BBA176DD7,2020/02/18,
,,,,20506.3848,35853.0664,Highgate Walk Playground,,,Along Highgate walk,,,A888D0B2ADED9910,2020/02/18,
,,,,27856.373,37304.92,Soo Chow Walk Playground,,,along Soo chow walk,,,462A8A66480A45CC,2020/02/18,
,,,,29046.2715,37274.2969,Pemimpin Place Playground,,,Along Pemimpin Place,,,F6C50CD9F00C7DFC,2020/02/18,
,,,,21316.0781,33927.7148,Clementi Crescent Playground,,,Within Clementi Crescent Estate,,,ADC0488E38A1F9B4,2020/02/18,
,,,,24482.6328,35320.9023,Orchid Village Playground,,,Along Liden Dr,,,179F0FF2BDAE0A76,2020/02/18,
,,,,35610.0859,32966.18,Joo Chiat Terrace Interim Park,,,Along Joo Chiat Terrace,,,257CCFABE97D31F2,2020/02/18,
,,,,28737.4453,37347.9375,Jalan Pintau Playground,,,along Jalan Pintau,,,EE93BB5C3B7D382C,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/chestnut-nature-park,22159.4824,39220.65,Chestnut Nature Park,,,"Located along Chestnut Avenue and is abutting Central Catchment Nature Reserve, stretches along BKE, from Gali Batu Flyover to Dairy Farm Flyover.",,,AFBB1AAB4CEF1004,2020/02/18,
,,,,,,,,,"PUB Waterworks is situated at the end of Chestnut Avenue, demarking the access road across the middle of Ch",,,,,
,,,,22964.9512,33837.4531,Greenleaf View Park Playground,,,At the end of Greenleaf View,,,E3D8EBD783D3B367,2020/02/18,
,,,,26258.0254,34187.27,University Road Park,,,At the end of University Walk,,,382980E5C992C4D6,2020/02/18,
,,,,24965.9414,33486.0156,King's Drive Playground,,,junction of king's road and king's drive,,,D2871F4E89CF3AEF,2020/02/18,
,,,,29729.7344,30899.3262,Stamford Green,,,Bounded by Canning Rise and Stamford Road; Next to National Museum of Singapore,,,C73F1EE0BEE9D1B4,2020/02/18,
,,,,30763.7246,32642.77,Somme Road Playground,,,Along Petain Rd and Kitchener Link,,,84145C82116A130E,2020/02/18,
,,,,32421.7,34659.3438,Siang Kuang Avenue Interim Park,,,"Siang Kuang Avenue, Sennett Estate",,,C0F24BDD65199A53,2020/02/18,
,,,,22629.332,35465.4531,Hua Guan Crescent Playground,,,Located along Hua Guan Crescent,,,74CC369AA90F4995,2020/02/18,
,,,,28206.6,36918.9063,Taman Permata Park,,,Along Upper Thomson Road,,,AEFDE6CC600E00FB,2020/02/18,
,,,,25292.1484,34878.48,Watten Heights Playground,,,Along Watten Estate Road,,,C753D8230DE8A523,2020/02/18,
,,,,41833.07,33929.2,Eastwood Park Playground,,,Between Eastwood Way and Bedok PCN,,,F4FD697FF3D7BEB4,2020/02/18,
,,,,38073.918,33718.168,Bangsawan Park,,,Jalan Bangsawan,,,E8D1D421BBAB98DB,2020/02/18,
,,,,28079.7285,37626.6953,Thomson Park Estate Interim Park,,,,,,A59816CD9F1E86FD,2020/02/18,
,,,,34574.8633,32981.9648,Guillemard Road Open Space,,,Besides City Plaza towards Geylang Road,,,069CCF717AF5088A,2020/02/18,
,,,,22165.8223,35950.332,Mayfair Park,,,Located along Jalan Gaharu,,,24E912B43EB95878,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/ang-mo-kio-town-garden-west,29064.8477,39558.2227,Ang Mo Kio Town Garden West,,,"Opposite Ang Mo Kio Town Library, along Ang Mo Kio Avenue 6",,,D5F6AA05F4EBB8F2,2020/02/18,
,,,,28463.8926,40294.207,Yio Chu Kang Gardens Playground,,,Turn right after Yio Chu Kang estate entrance,,,4BD7AB1ED2B7588F,2020/02/18,
,,,,40502.98,40079.1,Sungei Api Api Park,,,"Entrance via Pasir Ris Drive 3, Riverina View and Elias Road",,,4894713B31B66C67,2020/02/18,
,,,,32962.0078,40821.14,Mugliston Park Playground,,,Junction of Gerald Drive & Mugliston Park,,,03F3E458EBEEFCEC,2020/02/18,
,,,,33592.3125,36787.4922,Paya Lebar Crescent Open Space,,,Central open space at round about along Paya lebar cresent (road),,,533A17097CE72D63,2020/02/18,
,,,,41029.44,34010.6523,Limau Villas Playground,,,End of Limau Terrace from Jalan Langgar Bedok,,,D2D5F65DB241AD6D,2020/02/18,
,,,,28314.6563,41109.4766,Lentor Vale Playground,,,Junction of Lentor Vale and Lentor Way,,,00D14D4E70684188,2020/02/18,
,,,,38142.7,33595.7656,Opera Estate Football Field,,,Swan Lake Avenue,,,AD2BA4AF1306E38A,2020/02/18,
,,,,27896.8828,39226.05,Shangri-La Playground,,,Junction of Ang Mo Kio Ave 2 and Jalan Lanjut,,,FF16ED3C3767BD2C,2020/02/18,
,,,,45135.69,41460.7773,Changi Point Ferry Terminal,,,Near Lor Bekukong,,,AA9DDE6381971B22,2020/02/18,
,,,www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/sun-plaza-park,40371.2031,37926.31,Sun Plaza Park,,,"Along Tampines Avenue 7, Tampines Avenue 9",,,5BBA8A8EB630BA01,2020/02/18,
